Name,Tag
Sheela Foam Ltd,SHEF
TTK Prestige Ltd,TTKL
Computer Age Management Services Ltd,CAMC
Shree Renuka Sugars Ltd,SRES
Mahanagar Gas Ltd,MGAS
Zydus Wellness Ltd,ZYDS
Brookfield India Real Estate Trust REIT,BIRE
Aditya Birla Sun Life Amc Ltd,ABS
Housing and Urban Development Corporation Ltd,HUDC
Hindustan Copper Ltd,HCPR
India Grid Trust,IGTR
Suzlon Energy Ltd,SUZL
RBL Bank Ltd,RATB
JBM Auto Ltd,JBMA
Great Eastern Shipping Company Ltd,GESC
G R Infraprojects Ltd,GRI
Poly Medicure Ltd,PLMD
RITES Ltd,RITS
CESC Ltd,CESC
Bikaji Foods International Ltd,BIK
Motilal Oswal Financial Services Ltd,MOFS
JK Lakshmi Cement Ltd,JKLC
Godfrey Phillips India Ltd,GDFR
Tanla Platforms Ltd,TNSL
Data Patterns (India) Ltd,DATAP
KRBL Ltd,KRBL
Vardhman Textiles Ltd,VART
Gujarat Narmada Valley Fertilizers & Chemicals Ltd,GNFC
ITI Ltd,ITEL
E I D-Parry (India) Ltd,EIDP
Galaxy Surfactants Ltd,GALX
Ingersoll-Rand (India) Ltd,INGR
MedPlus Health Services Ltd,MEDP
Kalpataru Power Transmission Ltd,KAPT
HFCL Ltd,HFCL
Kotak Mahindra Asset Management Company Limited,KOTM
Eris Lifesciences Ltd,ERIS
Welspun India Ltd,WLSP
Balrampur Chini Mills Ltd,BACH
SBI-ETF Nifty 50,SBFP
V I P Industries Ltd,VIPI
BHARAT Bond ETF-April 2023-Growth,BARB
Godrej Agrovet Ltd,GODE
UTI Asset Management Company Ltd,UTI
Piramal Pharma Ltd,PPL
Rainbow Children's Medicare Ltd,RAINB
Sundaram Clayton Ltd,SUND
Easy Trip Planners Ltd,EASE
CCL Products India Ltd,CCLP
Can Fin Homes Ltd,CNFH
Kama Holdings Ltd,KAM
Firstsource Solutions Ltd,FISO
Cera Sanitaryware Ltd,CERA
Route Mobile Ltd,ROUT
Astrazeneca Pharma India Ltd,ASTR
KSB Ltd,KSBL
Procter & Gamble Health Ltd,PROR
Karur Vysya Bank Ltd,KARU
Equitas Small Finance Bank Ltd,EQU
Chalet Hotels Ltd,CHAL
Deepak Fertilisers and Petrochemicals Corp Ltd,DPFE
Century Textile and Industries Ltd,CNTY
Shyam Metalics and Energy Ltd,SHYAE
Sapphire Foods India Ltd,SAPPH
Birlasoft Ltd,BIRS
Laxmi Organic Industries Ltd,LXC
Latent View Analytics Ltd,LATE
Eureka Forbes Ltd,EUREK
Bls International Services Ltd,BLSN
Granules India Ltd,GRAN
NCC Ltd,NCCL
PNC Infratech Ltd,PNCI
Sun Pharma Advanced Research Co Ltd,SPRC
Bombay Burmah Trading Corporation Ltd,BBRM
Jindal Worldwide Ltd,JINW
Jyothy Labs Ltd,JYOI
Multi Commodity Exchange of India Ltd,MCEI
Supreme Petrochem Ltd,SPTL
Shoppers Stop Ltd,SHOP
BSE Ltd,BSEL
Birla Corporation Ltd,BRLC
NBCC (India) Ltd,NBCC
Lemon Tree Hotels Ltd,LEMO
Symphony Ltd,SYMP
Ircon International Ltd,IRCN
Chemplast Sanmar Ltd,CHEMP
Balaji Amines Ltd,BAMN
KNR Constructions Ltd,KNRL
National Highways Infra Trust,NHIT
Archean Chemical Industries Ltd,ACA
Usha Martin Ltd,USBL
Minda Corporation Ltd,MINC
Hindustan Foods Ltd,HFDS
BHARAT Bond ETF-April 2030-Growth,BHAB
Craftsman Automation Ltd,CRAF
Tamilnad Mercantile Bank Ltd,TMB
Prince Pipes and Fittings Ltd,PRCE
Borosil Renewables Ltd,BORO
Allcargo Logistics Ltd,ACLL
GMM Pfaudler Ltd,GMMP
Cochin Shipyard Ltd,COCH
Jubilant Ingrevia Ltd,JUB
BHARAT Bond ETF-April 2032,BBE
Eclerx Services Ltd,ECLE
Praj Industries Ltd,PRAJ
Gujarat Ambuja Exports Ltd,GAME
Triveni Engineering and Industries Ltd,TREI
India Infrastructure Trust,INF
Alok Industries Ltd,ALOK
JK Paper Ltd,JKPA
Saregama India Ltd,SARE
Sterlite Technologies Ltd,STTE
Metropolis Healthcare Ltd,METP
Zensar Technologies Ltd,ZENT
Indinfravit Trust,INNF
Home First Finance Company India Ltd,HOM
Amber Enterprises India Ltd,AMBE
Network18 Media & Investments Ltd,NEFI
Prism Johnson Ltd,PRIS
Mahindra Holidays and Resorts India Ltd,MAHH
Gujarat State Fertilizers and Chemicals Ltd,GSFC
Rashtriya Chemicals and Fertilizers Ltd,RSTC
Intellect Design Arena Ltd,INEE
Garware Technical Fibres Ltd,GRWL
Kirloskar Ferrous Industries Ltd,KRFI
Glenmark Life Sciences Ltd,GLS
Safari Industries (India) Ltd,SAFA
JM Financial Ltd,JMSH
Welspun Corp Ltd,WGSR
Maharashtra Seamless Ltd,MHSM
Kirloskar Oil Engines Ltd,KIRO
CE Info Systems Ltd,MAPM
Graphite India Ltd,GRPH
Kaynes Technology India Ltd,KAYN
CEAT Ltd,CEAT
HG Infra Engineering Ltd (Part IX),HGIN
Maharashtra Scooters Ltd,MHSC
Go Fashion (India) Ltd,GOC
Just Dial Ltd,JUST
Reliance Infrastructure Ltd,RLIN
Mahindra Lifespace Developers Ltd,MALD
India Cements Ltd,ICMN
Swan Energy Ltd,SWAN
Jammu and Kashmir Bank Ltd,JKBK
